Title,ISBN,Author,Date,Rating,Note
村上朝日堂 嗨嗬!,9787532752294,村上春树,2013-09-05,4,轻松愉快～
爵士乐群英谱,9787532729371,村上春树,2013-09-04,4,找来听了一些，还不错。
似水流年,9787545201468,王小波,2013-09-03,4,「似水流年是一个人所有的一切，只有这个东西，才真正归你所有。其余的一切，都是片刻的欢娱和不幸，转眼间就已跑到那似水流年里去了。」
平如美棠,9787549535644,饶平如,2013-08-31,4,最让人感动的是这不是小说，这是真实的(爱情)故事，二十二年的分开，一生都是聚少离多，还是能一直爱着对方，直到老死。（书名竟然是两个人的名字，好听）
舞！舞！舞！,9787532728893,村上春树,2013-08-29,5,「要跳要舞，只要音乐没停。」
安迪·沃霍尔的哲学,9787563374779,安迪·沃霍尔,2013-08-27,4,“一个人不化妆的时候，看起来最让人想亲吻。”
我讲个笑话，你可别哭啊,9787511334978,囧叔,2013-08-23,3,额……有点耍小聪明的……嫌疑
爱情的容量,9787564013943,周国平,2013-08-22,5,「爱情不是人性的一个弱点，爱情就是人性，它是两性关系剖面上的人性。」
边城,9787537823425,沈从文,2013-08-21,4,『既然一切都还在，来过就未曾离开，那么即使心已渐渐消瘦，也没有什么是不可释怀的。』
阿甘正传,9787020035120,温斯顿·葛鲁姆,2013-08-19,4,
高原的百合花,9787806399279,三毛,2013-08-14,4,
不成功的爱情,9787229007447,王小波,2013-08-12,4,
色，戒,9787530209042,张爱玲,2013-08-11,3,
倾城之恋,9787536023918,张爱玲,2013-08-11,3,
活着,9787544210966,余华,2013-08-09,5,
小王子,9787020042494,安托万·德·圣埃克苏佩里,2013-08-06,3,
蛙,9787532136766,莫言,2013-08-05,4,
这些人，那些事,9787544717731,吴念真,2013-08-04,4,
青春,9787543877450,韩寒,2013-08-03,4,
挪威的森林,9787532725694,村上春树,2013-07-31,4,
不存在的骑士,9787544722797,伊塔洛·卡尔维诺,2013-07-26,4,
再袭面包店,9787532726325,村上春树,2013-07-25,4,
遇到百分之百的女孩,9787532730131,村上春树,2013-07-24,4,
电视人,9787532729951,村上春树,2013-07-23,4,
羊男的圣诞节,9787532732302,村上春树,2013-07-23,3,
Naive. Super,9781841956725,Erlend Loe,2013-07-22,4,
当我们谈论爱情时我们在谈论什么,9787544710442,雷蒙德·卡佛,2013-07-21,3,没……看……懂……
果壳中的宇宙,9787535733597,史蒂芬·霍金,2013-07-20,4,
我打不赢爱情,9787543210035,和菜头,2013-07-20,4,
Fight Club,9780805062977,Chuck Palahniuk,2013-07-19,5,"""I know this because Tyler knows this."""
西西弗的神话,9787563334568,阿尔贝·加缪,2013-07-18,4,
我是个年轻人 我心情不太好,9787533934033,阿澜·卢,2013-07-17,4,"""你不自责了，你说这一切本就是生活的常态，这样也挺好。 """
斯普特尼克恋人,9787532726271,村上春树,2013-07-16,5,很强烈的共鸣！！！
深夜食堂 01,9787540459246,安倍夜郎,2013-07-16,4,小清新哈，可以放松了看看。
第七天,9787513312103,余华,2013-07-15,4,
我所理解的生活,9787533935498,韩寒,2013-06-28,4,
秒速五厘米,9784840120722,新海诚,2013-06-23,4,
去中国的小船,9787532728886,村上春树,2013-06-17,4,
少有人走的路,9787807023777,斯科特·派克,2013-06-13,3,其实吧都懂，只是…我自己才二十多岁怕也没多少资格来跟别人说这些，更别提说服别人，有些大道理呢老是用玩笑带过，所以其实比你想象得是要成熟罢。
寻羊冒险记,9787532726141,村上春树,2013-06-12,4,“你相信世界会变好？” “天晓得什么是好什么是不好！”
旋转木马鏖战记,9787532729210,村上春树,2013-06-08,4,
大学四年级,9787538725223,王小波,2013-06-08,5,
王小波作品精编,9787540739263,王小波,2013-06-08,5,
国境以南 太阳以西,9787532726745,村上春树,2013-06-06,4,
天黑以后,9787532736850,村上春树,2013-06-04,4,
列克星敦的幽灵,9787532729609,村上春树,2013-06-01,4,
象厂喜剧,9787532728916,村上春树,2013-05-31,4,
夜半蜘蛛猴,9787532727537,村上春树,2013-05-31,4,
神的孩子全跳舞,9787532728879,村上春树,2013-05-30,4,
萤,9787532729968,村上春树,2013-05-28,4,
爱你就像爱生命,9787806859988,李银河; 王小波,2013-05-26,5,
杜尚访谈录,9787563333110,皮埃尔·卡巴纳,2013-05-24,4,
十个词汇里的中国,9789861204772,余华,2013-05-21,4,
生命是什么,9787535737229,埃尔温·薛定谔,2013-05-09,4,现在才知道原来薛定谔还写书。。。@_@
一九八四,9787532739974,乔治·奥威尔,2013-05-08,4,
撒哈拉的故事,9789573305545,三毛,2013-05-06,5,
娱乐至死,9787563344970,尼尔·波兹曼,2013-05-04,5,
例外,9787549515448,毛尖,2013-05-03,5,挺有趣儿的。
艺术的故事,9787807463726,E.H.贡布里希,2013-04-24,5,让人大开眼界的一本书。
人间词话,9787532524808,王国维,2013-04-23,4,
一九七三年的弹子球,9787532726288,村上春树,2013-04-23,5,
且听风吟,9787532726172,村上春树,2013-04-17,4,
佛祖在一号线,9787503945434,李海鹏,2013-04-13,4,
Greasemonkey Hacks,9780596101657,Mark Pilgrim,2013-04-13,4,
平行世界·爱情故事,9787544252294,东野圭吾,2013-04-12,3,好扯…………
Just for Fun,9780066620732,Linus Torvalds; David Diamond,2013-03-28,4,
当我谈跑步时我谈些什么,9787544242820,村上春树,2013-03-24,5,
观念的水位,9787308108584,刘瑜,2013-03-19,5,
看见,9787549529322,柴静,2013-03-12,5,“新闻是选择的结果，是人来选择呈现什么。”
史铁生自选集,9787544316095,史铁生,2013-03-09,5,
The Cathedral and the Bazaar,9781565927247,Eric Steven Raymond,2013-03-06,5,
余欢,9787532131136,刘瑜,2013-03-03,4,
Rework,9780307463746,Jason Fried; David Heinemeier Hansson,2013-03-03,5,
C语言程序设计,9787302037910,谭浩强,2013-02-28,4,
新手学C语言,9787894989895,王欣惠; 胡艳; 邵国红,2013-02-28,1,
高等数学（上册）,9787562814559,殷锡鸣,2013-02-28,3,
离散数学,9787302204046,金聪; 郭京蕾,2013-02-28,3,
世界上最优美的50篇散文,9787111274759,凯勒,2013-02-28,4,
谈话的艺术,9787563362837,戴博拉·弗恩,2013-02-28,3,
C语言程序设计基础实验与题解,9787302216438,黄远林; 陈东方; 李顺新; 李文杰; 王晓峰,2013-02-28,3,
ADOBE PHOTOSHOP CS4基础培训教材,9787115217080,张明真; 汪可,2013-02-28,5,
Mac OS X 10.6 Snow Leopard操作系统快速入门,9787121110337,兰格,2013-02-28,4,
大学现代日语（上册）,9787313062987,刘旭宝; 程放明,2013-02-28,3,
数据结构与算法,9787111321224,徐凤生,2013-02-28,4,
计算机组成与系统结构,9787302168003,卜艳萍; 周伟,2013-02-28,4,
Linux嵌入式系统高级程序设计,9787115239372,Gene Sally,2013-02-28,4,
计算机网络技术与应用,9787302234944,张博,2013-02-28,3,
PHP从入门到精通,9787122059789,陈超,2013-02-28,3,
Ajax、JavaScript和PHP编程导学,9787111253112,刘红伟,2013-02-28,3,
Ubuntu 9 Linux应用基础,9787121125454,郑阿奇,2013-02-28,3,
Linux C编程实战,9787115174086,童永清,2013-02-28,3,
零基础学嵌入式Linux C编程,9787111307181,陈立伟; 王桐; 杨蕾,2013-02-28,3,
HTML/CSS/JavaScript标准教程,9787121123269,本书编委会,2013-02-28,3,
Java程序设计,9787302194484,于万波,2013-02-28,5,
Linux命令行和shell脚本编程宝典,9787115197771,Richard Blum,2013-02-28,4,
普通物理学习辅导精析,9787030239235,宋庆功,2013-02-28,3,
六级英语考前冲刺,9787889100878,李宝宏,2013-02-28,3,
Perl语言入门,9787564117634,Randal L.Schwartz; Tom Phoenix; brian d foy,2013-02-28,5,
Ubuntu Linux指南,9787115206800,Mark G. Sobell,2013-02-28,3,
新题型大学英语六级考试强化训练,9787301153383,栾娈; 顾玉莲; 张红丽,2013-02-28,3,
Python学习手册,9787111267768,Mark Lutz,2013-02-28,5,
Linux环境下C编程指南,9787302151029,杨树青,2013-02-28,4,
数据结构（C语言描述）,9787302244127,王爱民; 李杰,2013-02-28,4,
数据结构与算法,9787040310474,陈卫卫; 王庆瑞,2013-02-28,5,
Python编程入门经典,9787302257097,James W. Payne,2013-02-28,5,
建筑节能应用新技术,9787502582296,鱼剑琳,2013-02-28,3,
现代住宅建筑节能与应用,9787122062604,何水清,2013-02-28,3,
节能建筑设计与技术,9787560825991,宋德萱,2013-02-28,3,
建筑节能设计策略与应用,9787112102082,黄继红,2013-02-28,3,
智能建筑节能工程,9787564125752,王向宏,2013-02-28,3,
Auto CAD 2009建筑设计标准教程,9787113118938,白朝勤,2013-02-28,4,
学习bash,9787111107231,Cameron Newham; Bill Rosenblatt,2013-02-28,5,
Shell脚本专家指南,9787115230805,彼得,2013-02-28,5,
精通Perl,9787121077135,brian d foy,2013-02-28,5,
Linux应用程序开发,9787302137504,施瓦兹,2013-02-28,4,
sed与awk,9787111115274,多尔蒂; 罗宾斯,2013-02-28,5,
精通正则表达式,9787121046841,Jeffrey E·F·Friedl,2013-02-28,5,
复变函数.积分变换辅导讲案,9787561222553,李建林,2013-02-28,3,
Programming C# (中文版),9787121045929,里伯提,2013-02-28,5,
开源软件之道,9787121104831,蔡俊杰; 吕晶; 连理; 邱小侠; 吴玥颢,2013-02-28,3,
查拉图斯特拉如是说,9787544704014,弗里德里希·尼采,2013-02-28,4,
菊与刀,9787100012935,鲁思·本尼迪克特,2013-02-28,5,
Debug Hacks (中文版),9787121140488,吉岡弘隆; 大和一洋; 大岩尚宏; 安部東洋; 吉田俊輔,2013-02-28,5,
软件随想录,9787115216342,Joel Spolsky,2013-02-28,5,
网络安全HACKS,9787508392790,洛克哈特,2013-02-28,5,
Ruby从入门到精通,9787111258667,Peter cooper,2013-02-28,4,
C语言核心技术,9787111220503,Peter Prinz; Tony Crawford,2013-02-28,5,
实用Common Lisp编程,9787115263742,Peter Seibel,2013-02-28,5,
GTK+/GNOME程序设计,9787111093275,Peter Wright,2013-02-28,3,
Android应用开发实战,9787111362609,李宁,2013-02-28,3,
Everyday Scripting with Ruby (中文版),9787121064579,马瑞克,2013-02-28,4,
程序员应该知道的97件事,9787121117565,Kevlin Henney,2013-02-28,4,
Android应用开发,9787115230218,Rick Rogers,2013-02-28,4,
程序员修炼之道,9787505397194,Andrew Hunt; David Thomas,2013-02-28,4,
编程匠艺,9787121143472,Pete Goodliffe,2013-02-28,4,
UNIX编程艺术,9787121123290,Eric S·Raymond,2013-02-28,4,
编程珠玑,9787115176066,Jon Bentley,2013-02-28,5,
GAE编程指南,9787111314523,Dan Sanderson,2013-02-28,5,
梦断代码,9787121066795,Scott Rosenberg,2013-02-27,5,
Java语言精粹,9787121133091,Jim Waldo,2013-02-27,4,
C++ Cookbook (中文版),9787302155553,斯蒂芬斯,2013-02-27,5,
编程珠玑（续）,9787115251510,Jon Bentley,2013-02-27,5,
UNIX超级工具,9787508309477,Jerry Peek; Tim O'Reilly; Mike Loukides,2013-02-27,4,
lex与yacc,9787111107217,John R.Levine; Tony Mason; Doug Brown,2013-02-27,4,
数学之美,9787115282828,吴军,2013-02-27,5,
哥伦比亚的倒影,9787563358243,木心,2013-02-02,4,有一种说不出的古典美，像是穿着旗袍的姑娘，值得细细的读。
致我们终将逝去的青春,9787505416772,辛夷坞,2013-01-28,3,
民主的细节,9787542629586,刘瑜,2013-01-14,5,「自由民主不但应当是一种康德式的理念，而且应当是一种尼采式的意志。」
三十六大,9787533935030,冯唐,2013-01-14,5,馮唐的文字忒實在！
思维的乐趣,9787300065397,王小波,2013-01-12,3,
一个人的村庄,9787531329329,刘亮程,2013-01-12,4,
我是你流浪过的一个地方,9787887170880,海桑,2013-01-12,4,
禅者的初心,9787807001775,铃木俊隆; 梁永安,2012-11-12,4,很静心，神清气爽。
看不见的城市,9787544700603,伊塔洛·卡尔维诺,2012-11-11,5,像詩，抑或是某種咒語。
星期三是藍色的,9789862160718,丹尼爾·譚米特,2012-11-04,4,星期三從圖書館借了這本書。顺便把电影书中提到的两部电影也看了。总之……感觉……还好吧。
黑客,9787111358404,Steven Levy,2012-08-14,5,
北京，北京,9787547008225,冯唐,2012-08-12,4,
活着活着就老了,9787547008218,冯唐,2012-08-12,4,
十八岁给我一个姑娘,9787547008249,冯唐,2012-08-12,4,
万物生长,9787806956137,冯唐,2012-08-12,4,
我们台湾这些年,9787229012755,廖信忠,2012-08-12,4,
菊与刀,9787543042629,鲁思·本尼迪克特,2012-08-12,3,
Binary Hacks,9787508387932,高林哲,2012-08-12,5,
行者无疆,9787801423849,余秋雨,2012-06-30,5,
Ruby语言入门,9787564121341,Yugui,2012-05-20,5,
时间管理,9787564109059,Thomas A·Limoncelli,2012-05-20,4,
代码整洁之道,9787115216878,Robert C·Martin,2012-05-20,4,
LINUX SERVER HACKS,9787302071693,Rob Flickenger,2012-05-20,4,
BSD HACKS 100个业界最尖端的技巧和工具,9787302142171,拉维,2012-05-20,5,
欢喜,9787201057408,冯唐,2012-05-20,4,
寻路中国,9787532752805,彼得·海斯勒,2012-05-20,5,
松本行弘的程序世界,9787115255075,松本行弘,2012-05-20,4,
暗时间,9787121140068,刘未鹏,2012-04-04,5,
不二,9789882194199,冯唐,2012-04-04,4,
Hackers & Painters,9781449389550,保罗·格雷厄姆,2012-04-04,5,
青铜时代,9787561327456,王小波,2012-02-07,4,
送你一颗子弹,9787542631664,刘瑜,2012-02-07,5,
多田便利屋,9787020067619,三浦紫苑,2012-01-02,5,
肖申克的救赎,9787020054985,斯蒂芬·金,2011-11-30,5,
不能承受的生命之轻,9787532731077,米兰·昆德拉,2011-11-30,5,
黑铁时代,9787561327739,王小波,2011-11-29,4,
白银时代,9787561327463,王小波,2011-11-29,4,
黄金时代,9787561327470,王小波,2011-11-29,5,
Linux C编程一站式学习,9787121097713,宋劲杉,2011-11-28,5,
大道至简,9787121038693,周爱民,2011-11-28,4,
穿越时空的少女,9787532748150,筒井康隆,2011-11-28,5,
